Store Name,City,State,Country,Website,Instagram,Email,Phone,Carries Supreme,Carries Hellstar,Carries Godspeed,Last Order Date,Outreach Status,Outreach Channel,Notes,Date Added,Lead Score,Priority Tier
Hallandale Kicks,Hallandale Beach,FL,,,@hallandalekicks,No,No,No,,New Lead,Hallandale Beach sneaker boutique,,,,,10,📋 TIER 3 — Warm
The Vault FL,Fort Lauderdale,FL,,thevaultfl.com,954-882-7481,No,No,No,,New Lead,3920 Riverland Rd FTL 33312 - VERIFIED - TOP PRIORITY,,,,,-30,❄️ TIER 4 — Cold
Knotty Boy,Fort Lauderdale,FL,,,@knottyboyfitments,No,No,No,,New Lead,Fort Lauderdale streetwear + lifestyle,,,,,10,📋 TIER 3 — Warm
Broward Thread,Fort Lauderdale,FL,,,@browardthread,No,No,No,,New Lead,Fort Lauderdale streetwear boutique,,,,,10,📋 TIER 3 — Warm
Dope City Apparel,Fort Lauderdale,FL,,,@dopecityapparel,No,No,No,,New Lead,Fort Lauderdale urban + streetwear,,,,,10,📋 TIER 3 — Warm
Lucre,Pompano Beach,FL,,lucreindustries.com,@lucreindustries,No,No,No,,New Lead,2306 E Atlantic Blvd Pompano Beach FL 33062 - VERIFIED,,,,,-30,❄️ TIER 4 — Cold
The Hook Up,Pompano Beach,FL,,,@thehookupfl,No,No,No,,New Lead,Pompano Beach streetwear - Yelp Top 10,,,,,10,📋 TIER 3 — Warm
Cr8tive Outfitters,Pompano Beach,FL,,,@cr8tiveoutfitters,No,No,No,,New Lead,Pompano Beach streetwear,,,,,10,📋 TIER 3 — Warm
Sneaker Lovers,Pompano Beach,FL,,,@sneakerloversfl,No,No,No,,New Lead,Pompano Beach sneaker boutique,,,,,10,📋 TIER 3 — Warm
Soul Society Boutique,Pompano Beach,FL,,,@soulsocietyboutique,No,No,No,,New Lead,Lifestyle + streetwear - Pompano Beach,,,,,10,📋 TIER 3 — Warm
Boca Kickz,Boca Raton,FL,,,@bocakickz,No,No,No,,New Lead,Boca Raton sneaker boutique - affluent market,,,,,10,📋 TIER 3 — Warm
Fresh Kicks Boca,Boca Raton,FL,,,@freshkicksboca,No,No,No,,New Lead,Boca Raton sneaker boutique,,,,,10,📋 TIER 3 — Warm
Delray Kicks,Delray Beach,FL,,,@delraykicks,No,No,No,,New Lead,Delray Beach - Atlantic Ave traffic,,,,,10,📋 TIER 3 — Warm
Palm Beach Streetwear,West Palm Beach,FL,,,@palmbeachstreetwear,No,No,No,,New Lead,West Palm Beach streetwear boutique,,,,,10,📋 TIER 3 — Warm
SoleCity WPB,West Palm Beach,FL,,,@solecitywpb,No,No,No,,New Lead,West Palm Beach sneaker + streetwear,,,,,10,📋 TIER 3 — Warm
The Hookup WPB,West Palm Beach,FL,,,@thehookupwpb,No,No,No,,New Lead,West Palm Beach urban + streetwear,,,,,10,📋 TIER 3 — Warm
Lake Worth Threads,Lake Worth,FL,,,@lakewortththreads,No,No,No,,New Lead,Lake Worth streetwear boutique,,,,,10,📋 TIER 3 — Warm
Riviera Beach Kicks,Riviera Beach,FL,,,@rivierabeachkicks,No,No,No,,New Lead,Riviera Beach sneaker boutique,,,,,10,📋 TIER 3 — Warm
Boynton Beach Kicks,Boynton Beach,FL,,,@boyntonbeachkicks,No,No,No,,New Lead,Boynton Beach sneaker + streetwear,,,,,10,📋 TIER 3 — Warm
Men's Closet,Orlando,FL,,https://mensclosetclothing.com,(407) 578-4878,No,No,No,,Not Contacted,"Original streetwear boutique since 1988. OFF White, Palm Angels, ASSC. 5510 W Colonial Dr Ste 102.",,,,,10,📋 TIER 3 — Warm
Aphonics Kicks (Florida Mall),Orlando,FL,,https://www.aphonicss.com,(321) 247-5020,Yes,No,No,,Not Contacted,8001 S Orange Blossom Trl. Supreme carrier. Tier 1.,,,,,25,⭐ TIER 2 — Strong
Aphonics Kicks (Int'l Dr),Orlando,FL,,https://www.aphonicss.com,(407) 851-6255,Yes,No,No,,Not Contacted,5263 International Dr. Orlando Outlet Marketplace. 2nd location.,,,,,10,📋 TIER 3 — Warm
A Sneaker City,Orlando,FL,,,@asneakercityorlando,No,No,No,,Not Contacted,"8001 S Orange Blossom Trl, The Florida Mall.",,,,,10,📋 TIER 3 — Warm
Timeless Sneaker Boutique,Orlando,FL,,https://www.simon.com/mall/the-florida-mall/stores/timeless-sneaker-boutique,,No,No,No,,Not Contacted,The Florida Mall. Premium sneaker boutique.,,,,,0,❄️ TIER 4 — Cold
The Bodega Vintage/Streetwear,Orlando,FL,,,@TheBodegaOrlando,No,No,No,,Not Contacted,Vintage + streetwear boutique in Orlando.,,,,,10,📋 TIER 3 — Warm
Lovely Kickz Boutique,Orlando,FL,,,,No,No,No,,Not Contacted,Sneaker boutique in Orlando area.,,,,,0,❄️ TIER 4 — Cold
Culture of Fame,Tampa,FL,,https://cultureoffame.com,(813) 769-9287,No,No,No,,Not Contacted,4941 E Busch Blvd Ste #210. Family-owned 20+ years.,,,,,-30,❄️ TIER 4 — Cold
813 Designer World,Tampa,FL,,https://813designerworld.com,(813) 252-8585,No,No,No,,Not Contacted,6202 N 40th St. Authorized retailer. New merch daily.,,,,,10,📋 TIER 3 — Warm
FLY,Tampa,FL,,,(813) 853-6712,No,No,No,,Not Contacted,3904 Corporex Park Dr Ste 102. Exclusive brands since 2009. Tier 1.,,,,,-30,❄️ TIER 4 — Cold
Entourage Streetwear,Tampa,FL,,https://entouragestreetwear.com,,No,No,No,,Not Contacted,Tampa-based premium streetwear and sneakers.,,,,,0,❄️ TIER 4 — Cold
Secured Tampa,Lutz,FL,,https://www.securedtampa.com,@securedtampa,Yes,No,No,,Not Contacted,Tampa Premium Outlets. Supreme + Bape carrier. Tier 1.,,,,,25,⭐ TIER 2 — Strong
Hotbins Tampa,Tampa,FL,,https://hotbins.com,(813) 915-5771,No,No,No,,Not Contacted,4001 E Busch Blvd. Buy/sell/trade sneaker chain.,,,,,10,📋 TIER 3 — Warm
Impossible Kicks Tampa,Tampa,FL,,https://impossiblekicks.com,@impossiblekicks,Yes,No,No,,Not Contacted,International Plaza & Bay Street. Premium boutique.,,,,,10,📋 TIER 3 — Warm
KickzR4Us Sneaker Boutique,Tampa,FL,,,,No,No,No,,Not Contacted,Sneaker boutique in Tampa Bay area.,,,,,0,❄️ TIER 4 — Cold
Hotbins Brandon,Brandon,FL,,https://hotbins.com,(813) 278-8793,No,No,No,,Not Contacted,1423 E Brandon Blvd.,,,,,-30,❄️ TIER 4 — Cold
Fresh Rags FL,Pinellas Park,FL,,https://freshragsfl.com,,No,No,No,,Not Contacted,7620 49th Street. Tampa Bay streetwear since 2008.,,,,,0,❄️ TIER 4 — Cold
Hotbins St. Petersburg,St. Petersburg,FL,,https://hotbins.com,@hotbinssaintpete,No,No,No,,Not Contacted,1055 62nd Ave N.,,,,,-30,❄️ TIER 4 — Cold
Matter of Fact,St. Petersburg,FL,,https://shopmatteroffact.com,@shopmatteroffact,No,No,No,,Not Contacted,Contemporary streetwear boutique in St Pete.,,,,,10,📋 TIER 3 — Warm
Hotbins Holiday,Holiday,FL,,https://hotbins.com,(727) 935-1323,No,No,No,,Not Contacted,2599 US-19. North Pinellas area.,,,,,-30,❄️ TIER 4 — Cold
Soleciety Sneaker Boutique,Wesley Chapel,FL,,https://solecietyshop.com,@solecietyshop,No,No,No,,Not Contacted,28211 Paseo Dr. Closed due to Hurricane Milton - monitor reopen.,,,,,10,📋 TIER 3 — Warm
JD Sports Wesley Chapel,Lutz,FL,,https://stores.jdsports.com/fl/lutz/tampa-premium-outlet.html,,No,No,No,,Not Contacted,Tampa Premium Outlets.,,,,,-40,❄️ TIER 4 — Cold
OG Unlaced Sneaker Store,Sarasota,FL,,https://ogunlaced.com,(740) 278-6770,No,No,No,,Not Contacted,University Town Center Mall. 21K Instagram followers. Buy/Sell/Trade. Email: OgsUnlaced@gmail.com,,,,,10,📋 TIER 3 — Warm
Hotbins Sarasota,Sarasota,FL,,https://hotbins.com,(941) 706-2650,No,No,No,,Not Contacted,935 N Beneva Rd Ste 802.,,,,,-30,❄️ TIER 4 — Cold
Urban Culture Boutique,Sarasota,FL,,https://shopurbanculture.com,,No,No,No,,Not Contacted,478 John Ringling Blvd. Downtown Sarasota boutique.,,,,,0,❄️ TIER 4 — Cold
Graffiti SRQ,Sarasota,FL,,https://graffitisrq.com,,No,No,No,,Not Contacted,Custom streetwear shop in Sarasota.,,,,,0,❄️ TIER 4 — Cold
T. Georgiano's Boutique,Sarasota,FL,,https://tgeorgianos.com,(941) 870-3727,No,No,No,,Not Contacted,Designer sneaker boutique. Vintage + modern. Email: info@tgeorgianos.com | Instagram: @tgeorgianos,,,,,10,📋 TIER 3 — Warm
Hyped Lounge,Sarasota,FL,,,@hyped_lounge,No,No,No,,Not Contacted,Sarasota-based streetwear brand/boutique.,,,,,10,📋 TIER 3 — Warm
Sole Culture,Sarasota,FL,,,@soleculturej,No,No,No,,Not Contacted,3.3K Instagram. Sneaker boutique.,,,,,10,📋 TIER 3 — Warm
Verified Sneaker Boutique,Fort Myers,FL,,https://www.verifiedfm.com,(856) 655-2353,Yes,No,No,,Not Contacted,"4125 Cleveland Ave Ste 1720, Edison Mall. Supreme carrier! Tier 1.",,,,,25,⭐ TIER 2 — Strong
Hotbins Fort Myers,Fort Myers,FL,,https://hotbins.com,(239) 689-1163,No,No,No,,Not Contacted,4650 S Cleveland Ave Suite 12.,,,,,-30,❄️ TIER 4 — Cold
JD Sports Fort Myers,Fort Myers,FL,,https://stores.jdsports.com/fl/ftmyers/edison-mall.html,(239) 277-7782,No,No,No,,Not Contacted,"4125 Cleveland Ave 1835A, Edison Mall.",,,,,-30,❄️ TIER 4 — Cold
Steps Shoe Retailer,Fort Myers,FL,,https://stepsshoeretailer.com,,No,No,No,,Not Contacted,Exclusive shoes and clothing in SW Florida.,,,,,0,❄️ TIER 4 — Cold
JD Sports Naples,Naples,FL,,https://stores.jdsports.com/fl/naples/coastland-center.html,,No,No,No,,Not Contacted,Coastland Center Naples.,,,,,-40,❄️ TIER 4 — Cold
Envyus Shop,Cape Coral,FL,,,,No,No,No,,Not Contacted,Streetwear boutique in Cape Coral.,,,,,0,❄️ TIER 4 — Cold
RDRNNR Curated,Cape Coral,FL,,,,No,No,No,,Not Contacted,Curated streetwear/fashion boutique.,,,,,0,❄️ TIER 4 — Cold
Just Kicks,Cape Coral,FL,,,,No,No,No,,Not Contacted,Sneaker shop in Cape Coral.,,,,,0,❄️ TIER 4 — Cold
Jsncustoms,Cape Coral,FL,,,,No,No,No,,Not Contacted,Custom streetwear and kicks.,,,,,0,❄️ TIER 4 — Cold
In-Stock Sneakers,Gainesville,FL,,https://in-stocksneakers.com,,Yes,Yes,No,,Not Contacted,Oaks Mall (between Lids & T-Mobile). HELLSTAR + SUPREME carrier! #1 Priority Gainesville.,,,,,40,🔥 TIER 1 — Hot
Swag Shop,Gainesville,FL,,,,No,No,No,,Not Contacted,Top Gainesville streetwear shop per Yelp.,,,,,0,❄️ TIER 4 — Cold
Hotbins Daytona Beach,Daytona Beach,FL,,https://hotbins.com,(386) 333-9190,No,No,No,,Not Contacted,872 N Nova Rd.,,,,,-30,❄️ TIER 4 — Cold
JD Sports Daytona Beach,Daytona Beach,FL,,https://stores.jdsports.com/fl/daytonabeach/daytona-outlet.html,,No,No,No,,Not Contacted,Daytona Outlet.,,,,,-40,❄️ TIER 4 — Cold
JD Sports Lakeland,Lakeland,FL,,https://stores.jdsports.com/fl/lakeland/lakeland-square.html,,No,No,No,,Not Contacted,Lakeland Square Mall.,,,,,-40,❄️ TIER 4 — Cold
Duval Kickz,Jacksonville,FL,,duvalkickz.com,@duvalkickz,Yes,Yes,Yes,,Not Contacted,"150 Riverside Ave Suite 301, Jacksonville FL 32202. CONFIRMED carries Godspeed + Hellstar. TOP PRIORITY.",,,,,—,🏷️ CURRENT ACCOUNT
Timeless Sneaker Boutique (The Avenues),Jacksonville,FL,,timeless-sneakers.com,(904) 672-7707,Yes,No,No,,Not Contacted,"10300 Southside Blvd Unit 1460, Jacksonville FL 32256. Carries Supreme, Anti Social Social Club, Gallery Dept, Off-White, Sp5der, Eric Emanuel.",,,,,55,🔥 TIER 1 — Hot
Timeless Sneaker Boutique (Orange Park),Orange Park,FL,,timeless-sneakers.com,(904) 592-7272,Yes,No,No,,Not Contacted,"1910 Wells Rd, Orange Park FL. Premium streetwear boutique.",,,,,10,📋 TIER 3 — Warm
APB Sneaker + Apparel Boutique,Jacksonville,FL,,apbstore.com,(904) 619-2987,No,No,No,,Not Contacted,"817 Lomax St, Jacksonville FL 32204. Men's streetwear + sneakers boutique.",,,,,10,📋 TIER 3 — Warm
