Store Name,City,State,Country,Website,Instagram,Email,Phone,Carries Supreme,Carries Hellstar,Carries Godspeed,Last Order Date,Outreach Status,Outreach Channel,Notes,Date Added,Lead Score,Priority Tier
Knotty Boy,Fort Lauderdale,FL,,,@knottyboyfitments,No,No,No,,New Lead,Fort Lauderdale streetwear + lifestyle,,,,,10,📋 TIER 3 — Warm
Broward Thread,Fort Lauderdale,FL,,,@browardthread,No,No,No,,New Lead,Fort Lauderdale streetwear boutique,,,,,10,📋 TIER 3 — Warm
Dope City Apparel,Fort Lauderdale,FL,,,@dopecityapparel,No,No,No,,New Lead,Fort Lauderdale urban + streetwear,,,,,10,📋 TIER 3 — Warm
Lucre,Pompano Beach,FL,,lucreindustries.com,@lucreindustries,No,No,No,,New Lead,2306 E Atlantic Blvd Pompano Beach FL 33062 - VERIFIED,,,,,-30,❄️ TIER 4 — Cold
The Hook Up,Pompano Beach,FL,,,@thehookupfl,No,No,No,,New Lead,Pompano Beach streetwear - Yelp Top 10,,,,,10,📋 TIER 3 — Warm
Cr8tive Outfitters,Pompano Beach,FL,,,@cr8tiveoutfitters,No,No,No,,New Lead,Pompano Beach streetwear,,,,,10,📋 TIER 3 — Warm
Sneaker Lovers,Pompano Beach,FL,,,@sneakerloversfl,No,No,No,,New Lead,Pompano Beach sneaker boutique,,,,,10,📋 TIER 3 — Warm
Soul Society Boutique,Pompano Beach,FL,,,@soulsocietyboutique,No,No,No,,New Lead,Lifestyle + streetwear - Pompano Beach,,,,,10,📋 TIER 3 — Warm
Boca Kickz,Boca Raton,FL,,,@bocakickz,No,No,No,,New Lead,Boca Raton sneaker boutique - affluent market,,,,,10,📋 TIER 3 — Warm
Fresh Kicks Boca,Boca Raton,FL,,,@freshkicksboca,No,No,No,,New Lead,Boca Raton sneaker boutique,,,,,10,📋 TIER 3 — Warm
Delray Kicks,Delray Beach,FL,,,@delraykicks,No,No,No,,New Lead,Delray Beach - Atlantic Ave traffic,,,,,10,📋 TIER 3 — Warm
Palm Beach Streetwear,West Palm Beach,FL,,,@palmbeachstreetwear,No,No,No,,New Lead,West Palm Beach streetwear boutique,,,,,10,📋 TIER 3 — Warm
SoleCity WPB,West Palm Beach,FL,,,@solecitywpb,No,No,No,,New Lead,West Palm Beach sneaker + streetwear,,,,,10,📋 TIER 3 — Warm
The Hookup WPB,West Palm Beach,FL,,,@thehookupwpb,No,No,No,,New Lead,West Palm Beach urban + streetwear,,,,,10,📋 TIER 3 — Warm
Lake Worth Threads,Lake Worth,FL,,,@lakewortththreads,No,No,No,,New Lead,Lake Worth streetwear boutique,,,,,10,📋 TIER 3 — Warm
Riviera Beach Kicks,Riviera Beach,FL,,,@rivierabeachkicks,No,No,No,,New Lead,Riviera Beach sneaker boutique,,,,,10,📋 TIER 3 — Warm
Boynton Beach Kicks,Boynton Beach,FL,,,@boyntonbeachkicks,No,No,No,,New Lead,Boynton Beach sneaker + streetwear,,,,,10,📋 TIER 3 — Warm
Men's Closet,Orlando,FL,,https://mensclosetclothing.com,(407) 578-4878,No,No,No,,Not Contacted,"Original streetwear boutique since 1988. OFF White, Palm Angels, ASSC. 5510 W Colonial Dr Ste 102.",,,,,10,📋 TIER 3 — Warm
Aphonics Kicks (Florida Mall),Orlando,FL,,https://www.aphonicss.com,(321) 247-5020,Yes,No,No,,Not Contacted,8001 S Orange Blossom Trl. Supreme carrier. Tier 1.,,,,,25,⭐ TIER 2 — Strong
Aphonics Kicks (Int'l Dr),Orlando,FL,,https://www.aphonicss.com,(407) 851-6255,Yes,No,No,,Not Contacted,5263 International Dr. Orlando Outlet Marketplace. 2nd location.,,,,,10,📋 TIER 3 — Warm
The Bodega Vintage/Streetwear,Orlando,FL,,,@TheBodegaOrlando,No,No,No,,Not Contacted,Vintage + streetwear boutique in Orlando.,,,,,10,📋 TIER 3 — Warm
Lovely Kickz Boutique,Orlando,FL,,,,No,No,No,,Not Contacted,Sneaker boutique in Orlando area.,,,,,0,❄️ TIER 4 — Cold
813 Designer World,Tampa,FL,,https://813designerworld.com,(813) 252-8585,No,No,No,,Not Contacted,6202 N 40th St. Authorized retailer. New merch daily.,,,,,10,📋 TIER 3 — Warm
FLY,Tampa,FL,,,(813) 853-6712,No,No,No,,Not Contacted,3904 Corporex Park Dr Ste 102. Exclusive brands since 2009. Tier 1.,,,,,-30,❄️ TIER 4 — Cold
Entourage Streetwear,Tampa,FL,,https://entouragestreetwear.com,,No,No,No,,Not Contacted,Tampa-based premium streetwear and sneakers.,,,,,0,❄️ TIER 4 — Cold
Secured Tampa,Lutz,FL,,https://www.securedtampa.com,@securedtampa,Yes,No,No,,Not Contacted,Tampa Premium Outlets. Supreme + Bape carrier. Tier 1.,,,,,25,⭐ TIER 2 — Strong
Hotbins Tampa,Tampa,FL,,https://hotbins.com,(813) 915-5771,No,No,No,,Not Contacted,4001 E Busch Blvd. Buy/sell/trade sneaker chain.,,,,,10,📋 TIER 3 — Warm
Impossible Kicks Tampa,Tampa,FL,,https://impossiblekicks.com,@impossiblekicks,Yes,No,No,,Not Contacted,International Plaza & Bay Street. Premium boutique.,,,,,10,📋 TIER 3 — Warm
KickzR4Us Sneaker Boutique,Tampa,FL,,,,No,No,No,,Not Contacted,Sneaker boutique in Tampa Bay area.,,,,,0,❄️ TIER 4 — Cold
Hotbins Brandon,Brandon,FL,,https://hotbins.com,(813) 278-8793,No,No,No,,Not Contacted,1423 E Brandon Blvd.,,,,,-30,❄️ TIER 4 — Cold
Hotbins St. Petersburg,St. Petersburg,FL,,https://hotbins.com,@hotbinssaintpete,No,No,No,,Not Contacted,1055 62nd Ave N.,,,,,-30,❄️ TIER 4 — Cold
Matter of Fact,St. Petersburg,FL,,https://shopmatteroffact.com,@shopmatteroffact,No,No,No,,Not Contacted,Contemporary streetwear boutique in St Pete.,,,,,10,📋 TIER 3 — Warm
Hotbins Holiday,Holiday,FL,,https://hotbins.com,(727) 935-1323,No,No,No,,Not Contacted,2599 US-19. North Pinellas area.,,,,,-30,❄️ TIER 4 — Cold
Soleciety Sneaker Boutique,Wesley Chapel,FL,,https://solecietyshop.com,@solecietyshop,No,No,No,,Not Contacted,28211 Paseo Dr. Closed due to Hurricane Milton - monitor reopen.,,,,,10,📋 TIER 3 — Warm
Hotbins Sarasota,Sarasota,FL,,https://hotbins.com,(941) 706-2650,No,No,No,,Not Contacted,935 N Beneva Rd Ste 802.,,,,,-30,❄️ TIER 4 — Cold
Urban Culture Boutique,Sarasota,FL,,https://shopurbanculture.com,,No,No,No,,Not Contacted,478 John Ringling Blvd. Downtown Sarasota boutique.,,,,,0,❄️ TIER 4 — Cold
Graffiti SRQ,Sarasota,FL,,https://graffitisrq.com,,No,No,No,,Not Contacted,Custom streetwear shop in Sarasota.,,,,,0,❄️ TIER 4 — Cold
T. Georgiano's Boutique,Sarasota,FL,,https://tgeorgianos.com,(941) 870-3727,No,No,No,,Not Contacted,Designer sneaker boutique. Vintage + modern. Email: info@tgeorgianos.com | Instagram: @tgeorgianos,,,,,10,📋 TIER 3 — Warm
Hyped Lounge,Sarasota,FL,,,@hyped_lounge,No,No,No,,Not Contacted,Sarasota-based streetwear brand/boutique.,,,,,10,📋 TIER 3 — Warm
Sole Culture,Sarasota,FL,,,@soleculturej,No,No,No,,Not Contacted,3.3K Instagram. Sneaker boutique.,,,,,10,📋 TIER 3 — Warm
Hotbins Fort Myers,Fort Myers,FL,,https://hotbins.com,(239) 689-1163,No,No,No,,Not Contacted,4650 S Cleveland Ave Suite 12.,,,,,-30,❄️ TIER 4 — Cold
Steps Shoe Retailer,Fort Myers,FL,,https://stepsshoeretailer.com,,No,No,No,,Not Contacted,Exclusive shoes and clothing in SW Florida.,,,,,0,❄️ TIER 4 — Cold
Envyus Shop,Cape Coral,FL,,,,No,No,No,,Not Contacted,Streetwear boutique in Cape Coral.,,,,,0,❄️ TIER 4 — Cold
RDRNNR Curated,Cape Coral,FL,,,,No,No,No,,Not Contacted,Curated streetwear/fashion boutique.,,,,,0,❄️ TIER 4 — Cold
Just Kicks,Cape Coral,FL,,,,No,No,No,,Not Contacted,Sneaker shop in Cape Coral.,,,,,0,❄️ TIER 4 — Cold
Jsncustoms,Cape Coral,FL,,,,No,No,No,,Not Contacted,Custom streetwear and kicks.,,,,,0,❄️ TIER 4 — Cold
Swag Shop,Gainesville,FL,,,,No,No,No,,Not Contacted,Top Gainesville streetwear shop per Yelp.,,,,,0,❄️ TIER 4 — Cold
Hotbins Daytona Beach,Daytona Beach,FL,,https://hotbins.com,(386) 333-9190,No,No,No,,Not Contacted,872 N Nova Rd.,,,,,-30,❄️ TIER 4 — Cold
Duval Kickz,Jacksonville,FL,,duvalkickz.com,@duvalkickz,Yes,Yes,Yes,,Not Contacted,"150 Riverside Ave Suite 301, Jacksonville FL 32202. CONFIRMED carries Godspeed + Hellstar. TOP PRIORITY.",,,,,—,🏷️ CURRENT ACCOUNT
APB Sneaker + Apparel Boutique,Jacksonville,FL,,apbstore.com,(904) 619-2987,No,No,No,,Not Contacted,"817 Lomax St, Jacksonville FL 32204. Men's streetwear + sneakers boutique.",,,,,10,📋 TIER 3 — Warm
Soul2Sole,Jacksonville,FL,,,(904) 999-8551,No,No,No,,Not Contacted,"14866 Old St Augustine Rd Ste 106, Jacksonville FL 32258. Buy/sell/trade sneaker shop.",,,,,10,📋 TIER 3 — Warm
Leveled Up Sneaker Boutique (Jax Beach),Jacksonville Beach,FL,,leveledupstore.com,@leveledupjaxbeach,No,No,No,,Not Contacted,"14181 Beach Blvd Suite 3, Jacksonville FL 32250. Buy/Sell/Trade sneakers.",,,,,10,📋 TIER 3 — Warm
Leveled Up Sneaker Boutique (Orange Park),Orange Park,FL,,leveledupstore.com,@leveledupstore,No,No,No,,Not Contacted,"Orange Park Mall, Orange Park FL. Buy/Sell/Trade sneakers & streetwear.",,,,,10,📋 TIER 3 — Warm
Onassis Krown,Jacksonville,FL,,onassiskrown.com,@onassiskrown,No,No,No,,Not Contacted,Jacksonville FL. Streetwear/urban fashion brand with local retail presence.,,,,,10,📋 TIER 3 — Warm
Strange CVLT,Jacksonville,FL,,strangecvlt.com,,No,No,No,,Not Contacted,Jacksonville FL area. Alternative/niche streetwear boutique.,,,,,0,❄️ TIER 4 — Cold
The Hype Section,St. Augustine,FL,,,(904) 840-1892,No,No,No,,Not Contacted,"104 Ashourian Ave Ste 104, St. Johns FL 32092. Sneaker boutique near St. Augustine. Sat 11AM-7PM, buy/sell/trade.",,,,,10,📋 TIER 3 — Warm
KicksFromFlorida,Gainesville,FL,,,@kicksfromflorida,No,No,No,,Not Contacted,Gainesville FL. Student-owned sneaker resell business.,,,,,10,📋 TIER 3 — Warm
City Gear,Tallahassee,FL,,citygear.com,,No,No,No,,Not Contacted,"1215 Apalachee Pkwy Space 270, Tallahassee FL. Urban streetwear chain (Hibbett Sports).",,,,,0,❄️ TIER 4 — Cold
Hype Sneakers & Streetwear,Tallahassee,FL,,,,No,No,No,,Not Contacted,"Tallahassee FL. Licensed retailer: G-Star, Lacoste, Timberland. High-end sneaker resale. 6 locations.",,,,,0,❄️ TIER 4 — Cold
Backstage Boutique,Pensacola,FL,,,(850) 607-0292,No,No,No,,Not Contacted,"Cordova Mall, 5100 N 9th Ave, Pensacola FL 32504. High-end sneakers and hype streetwear. Carries Nike, Jordan, Yeezy.",,,,,10,📋 TIER 3 — Warm
Garden Street Vintage,Pensacola,FL,,,@gardenstreetvtg,No,No,No,,Not Contacted,"7 E Gregory St, Pensacola FL 32502. Hand-curated vintage & streetwear. Locally owned.",,,,,10,📋 TIER 3 — Warm
Coastal Kicks Pensacola,Pensacola,FL,,shopcoastalkicks.com,@coastalkickspcola,No,No,No,,Not Contacted,Pensacola FL. Sister location to Fort Walton Beach. Moved to FWB - verify current status.,,,,,10,📋 TIER 3 — Warm
Coastal Kicks,Fort Walton Beach,FL,,shopcoastalkicks.com,(850) 200-0699,No,No,No,,Not Contacted,"170 Miracle Strip Pkwy SE, Fort Walton Beach FL 32548. Sneaker & clothing boutique. Connected to @destinhype.",,,,,10,📋 TIER 3 — Warm
Awoken Kicks,Panama City Beach,FL,,awokenkicks.com,@awoken__kicks,No,No,No,,Not Contacted,"205 Bluefish Drive Suite 100, Panama City Beach FL 32413 (Pier Park). Sneaker/Streetwear/Vintage. Largest selection in the Panhandle.",,,,,10,📋 TIER 3 — Warm
The Shops at Amelia Market,Fernandina Beach,FL,,,,No,No,No,,Research Needed,Amelia Island/Fernandina Beach FL. Boutique complex downtown. Verify streetwear presence.,,,,,0,❄️ TIER 4 — Cold
Store Name,City,State,Instagram,Website,Phone,Carries Supreme,Carries Hellstar,Carries Godspeed,Last Order Date,Outreach Status,Notes,,,,,—,🏷️ CURRENT ACCOUNT
