Store Name,City,State,Instagram,Email,Phone,Lead Score,Priority Tier,Brands Carried,Score Reasons
Creep Brand,Bogotá,Colombia,@creepbrand,,,60,⭐ TIER 2 — Strong,,"Rising streetwear store | Premium positioning | Ships internationally | Bogotá, Colombia"
NEA (No Existen Atajos),Bogotá,Colombia,@nea_colombia,,,60,⭐ TIER 2 — Strong,,"Rising streetwear store | Premium positioning | Bogotá, Colombia"
404 Streetwear,Bogotá,Colombia,@404streetwear,,,45,📋 TIER 3 — Pipeline,,"Pipeline prospect | Est. 2020 | Limited edition drops | Bogotá, Colombia"
Undergold (Bogotá store),Bogotá,Colombia,@undergold_,info@undergoldapparel.com,,70,⭐ TIER 2 — Strong,,"Strong multi-city brand | Multi-city chain | Premium positioning | Bogotá, Colombia"
Taboada,Bogotá,Colombia,@taboada_moda,,,45,📋 TIER 3 — Pipeline,,"Pipeline prospect | Bogotá, Colombia"
Broken Chains Medellín,Medellín,Colombia,@brokenchains.co,,+57 314 752 8117,80,🔥 TIER 1 — Hot,,"Top-tier boutique | Coffee concept inside | Medellín, Colombia"
KICKS (El Tesoro),Medellín,Colombia,@kicks.com.co,,316 773 7666,90,🔥 TIER 1 — Hot,,"Premium flagship | Medellín, Colombia"
KICKS (Arkadia),Medellín,Colombia,@kicks.com.co,,318 251 6262,90,🔥 TIER 1 — Hot,,"Premium flagship | Medellín, Colombia"
Undergold (Medellín store),Medellín,Colombia,@undergold_,,,70,⭐ TIER 2 — Strong,,"Strong multi-city brand | Premium positioning | Medellín, Colombia"
Aurum 79,Medellín,Colombia,@aurum79co,,,60,⭐ TIER 2 — Strong,,"Rising streetwear store | Premium positioning | Medellín, Colombia"
Street Wear Shop MDE,Medellín,Colombia,@streetwearmde,,321 770 6214,60,⭐ TIER 2 — Strong,,"Rising streetwear store | Medellín, Colombia"
KICKS (Viva Envigado),Envigado,Colombia,@kicks.com.co,,317 810 0468,90,🔥 TIER 1 — Hot,,"Premium flagship | Envigado, Colombia"
Broken Chains Cali,Cali,Colombia,@brokenchains.co,,+57 324 248 2329,80,🔥 TIER 1 — Hot,,"Top-tier boutique | Coffee concept inside | Cali, Colombia"
KICKS (Jardín Plaza),Cali,Colombia,@kicks.com.co,,317 402 6962,90,🔥 TIER 1 — Hot,,"Premium flagship | Cali, Colombia"
Undergold (Cali store),Cali,Colombia,@undergold_,,,70,⭐ TIER 2 — Strong,,"Strong multi-city brand | Premium positioning | Cali, Colombia"
CaliKings,Cali,Colombia,@calikingscali,calikingsoficial@gmail.com,+57 305 749 1340,70,⭐ TIER 2 — Strong,Jordan | Nike | New Era | Supreme | Puma | Reebok | Asics | Vans | Louis Vuitton,"Strong multi-city brand | Carries Jordan | Nike | New Era | Supreme | Puma | Reebok | Asics | Vans | Louis Vuitton | Cali, Colombia"
Dynamo Brand (Unico),Cali,Colombia,@dynamo_live,,,80,🔥 TIER 1 — Hot,,"Rising streetwear store | Cali, Colombia"
Dynamo Brand (Centro),Cali,Colombia,@dynamo_live,,,80,🔥 TIER 1 — Hot,,"Rising streetwear store | Cali, Colombia"
Mad Label,Cali,Colombia,@madlabelcolombia,,+57 315 583 7100,60,⭐ TIER 2 — Strong,Vans | Converse | DC Shoes,"Rising streetwear store | Carries Vans | Converse | DC Shoes | Cali, Colombia"
Impacto Urban,Cali,Colombia,@impactourban,,,45,📋 TIER 3 — Pipeline,,"Pipeline prospect | Cali, Colombia"
Smookin Urban (Centro 1),Cali,Colombia,@smookinurban,,321 275 0545,45,📋 TIER 3 — Pipeline,,"Pipeline prospect | Cali, Colombia"
Smookin Urban (Centro 2),Cali,Colombia,@smookinurban,,321 275 0545,45,📋 TIER 3 — Pipeline,,"Pipeline prospect | Cali, Colombia"
Smookin Urban (Centro 3),Cali,Colombia,@smookinurban,,321 275 0545,45,📋 TIER 3 — Pipeline,,"Pipeline prospect | Cali, Colombia"
Smookin Urban (Cosmocentro),Cali,Colombia,@smookinurban,,321 275 0545,45,📋 TIER 3 — Pipeline,,"Pipeline prospect | Cali, Colombia"
QST Streetwear,Cali,Colombia,@qst.co,,,60,⭐ TIER 2 — Strong,,"Rising streetwear store | Cali, Colombia"
Freedom Store Cali (El Tesoro),Cali,Colombia,@freedomstorecal,,318-5049868,60,⭐ TIER 2 — Strong,,"Rising streetwear store | 24K followers | CC El Tesoro L40 | Limited edition drops | Cali, Colombia"
Freedom Store Cali (Centro),Cali,Colombia,@freedomstoreca,,3127906710,60,⭐ TIER 2 — Strong,,"Rising streetwear store | 27K followers | Carrera 7 #13-70 Centro | Limited edition drops | Cali, Colombia"
KICKS (Buena Vista),Barranquilla,Colombia,@kicks.com.co,,318 237 8155,90,🔥 TIER 1 — Hot,,"Premium flagship | Barranquilla, Colombia"
Undergold (Barranquilla store),Barranquilla,Colombia,@undergold_,,,70,⭐ TIER 2 — Strong,,"Strong multi-city brand | Barranquilla, Colombia"
KICKS (La Serrezuela),Cartagena,Colombia,@kicks.com.co,,318 262 7084,90,🔥 TIER 1 — Hot,,"Premium flagship | Premium positioning | Cartagena, Colombia"
KICKS (Cacique),Bucaramanga,Colombia,@kicks.com.co,,316 774 8579,90,🔥 TIER 1 — Hot,,"Premium flagship | Bucaramanga, Colombia"
KICKS (Jardín Plaza Cúcuta),Cúcuta,Colombia,@kicks.com.co,,310 207 0604,90,🔥 TIER 1 — Hot,,"Premium flagship | Cúcuta, Colombia"
Broken Chains Pereira,Pereira,Colombia,@brokenchains.co,,+57 322 588 5245,80,🔥 TIER 1 — Hot,,"Top-tier boutique | Pereira, Colombia"
Undergold (Pereira store),Pereira,Colombia,@undergold_,,,70,⭐ TIER 2 — Strong,,"Strong multi-city brand | Premium positioning | Pereira, Colombia"
Tenis Shop Pereira,Pereira,Colombia,@tenisshoppereiraa,,,60,⭐ TIER 2 — Strong,,"Rising streetwear store | 22K followers | Sneaker focus | Pereira, Colombia"
Gallery Resale Store,Pereira,Colombia,,,,60,⭐ TIER 2 — Strong,,"Rising streetwear store | Website galleryresalestore.co | Resale/consignment concept | Physical store | Pereira, Colombia"
Sneakers Peico,Pereira,Colombia,@sneakerspeico,,,45,📋 TIER 3 — Pipeline,,"Pipeline prospect | 459 followers | Physical store contraentrega | Pereira, Colombia"
Tenis Store Pereira 2,Pereira,Colombia,@tenis_storepereira2,,,45,📋 TIER 3 — Pipeline,,"Pipeline prospect | 336 followers | 466 posts consistent activity | Pereira, Colombia"
Undergold (online/multi),Nacional,Colombia,@undergold_,info@undergoldapparel.com,,70,⭐ TIER 2 — Strong,,"Strong multi-city brand | Multi-city chain | Ships internationally | Nacional, Colombia"
MONOIC Studios (online),Nacional,Colombia,@monoicstudios,,,70,⭐ TIER 2 — Strong,,"Strong multi-city brand | Premium positioning | Ships internationally | Nacional, Colombia"
Creep Brand (online),Nacional,Colombia,@creepbrand,,,60,⭐ TIER 2 — Strong,,"Rising streetwear store | Nacional, Colombia"
NEA Colombia (online),Nacional,Colombia,@nea_colombia,,,60,⭐ TIER 2 — Strong,,"Rising streetwear store | National shipping | Nacional, Colombia"
404 Streetwear (online),Nacional,Colombia,@404streetwear,,,45,📋 TIER 3 — Pipeline,,"Pipeline prospect | National shipping | Limited edition drops | Nacional, Colombia"
QST (online),Nacional,Colombia,@qst.co,,,60,⭐ TIER 2 — Strong,,"Rising streetwear store | Nacional, Colombia"
Dynamo Brand (online),Nacional,Colombia,@dynamo_live,,,80,🔥 TIER 1 — Hot,,"Rising streetwear store | National shipping | Nacional, Colombia"
Impacto Urban (online),Nacional,Colombia,@impactourban,,,45,📋 TIER 3 — Pipeline,,"Pipeline prospect | National shipping | Nacional, Colombia"
Smookin Urban (online),Nacional,Colombia,@smookinurban,,321 275 0545,45,📋 TIER 3 — Pipeline,,"Pipeline prospect | National shipping | Nacional, Colombia"
Cloud (online),Nacional,Colombia,@cloudtenbrand,,,60,⭐ TIER 2 — Strong,,"Rising streetwear store | Limited edition drops | Nacional, Colombia"
HYPE (online),Nacional,Colombia,@hype.com.co,contacto@hype.com.co,300-728-1471,80,🔥 TIER 1 — Hot,Jordan | Nike | Adidas | New Balance,"Top-tier boutique | Carries Jordan | Nike | Adidas | New Balance | Exclusive drops | National shipping | Flagship store | Nacional, Colombia"
Legalize Store,Medellín,Colombia,@legalizestore,,,45,📋 TIER 3 — Pipeline,,"Pipeline prospect | Physical store CC Hollywood | Since 1997 | Old School Oversize brand | Medellin, Colombia"
Urban Place,Bucaramanga,Colombia,@urbanplacestore,,,60,⭐ TIER 2 — Strong,,"Rising streetwear store | 3,406 followers | Physical store Calle 34 #25-44 | Bucaramanga, Colombia"
Urban Men,Cali,Colombia,,,,45,📋 TIER 3 — Pipeline,,"Pipeline prospect | Cali, Colombia"
Sneaker Store Medellín,Medellín,Colombia,@sneakerstoremedellin,,,60,⭐ TIER 2 — Strong,,"Rising streetwear store | Medellín, Colombia"
QST (Bogotá),Bogotá,Colombia,@qst.co,,,60,⭐ TIER 2 — Strong,,"Rising streetwear store | Bogotá, Colombia"
Undergold (multitienda),Nacional,Colombia,@undergold_,,,70,⭐ TIER 2 — Strong,,"Strong multi-city brand | Flagship store | Nacional, Colombia"
404 Streetwear (IG),Nacional,Colombia,@404street,,,45,📋 TIER 3 — Pipeline,,"Pipeline prospect | Ships internationally | National shipping | Nacional, Colombia"
Tienda Estilo Urbano (IG),Nacional,Colombia,@tiendaestilourbano,,,45,📋 TIER 3 — Pipeline,,"Pipeline prospect | Nacional, Colombia"
