Store Name,City,State,Country,Website,Instagram,Email,Phone,Carries Supreme,Carries Hellstar,Carries Godspeed,Last Order Date,Outreach Status,Outreach Channel,Notes,Date Added,Lead Score,Priority Tier,Brands Carried,Score Reasons,Score Breakdown
Concepts Miami,Miami,FL,USA,cncpts.com,@cncpts,No,No,No,,New Lead,Premium sneaker boutique with Miami distribution,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Hialeah Kicks,Hialeah,FL,USA,,@hialehakicks,No,No,No,,New Lead,Hialeah sneaker boutique - dense market,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
North Miami Beach Streetwear,North Miami Beach,FL,USA,,@nmbstreetwear,No,No,No,,New Lead,North Miami Beach streetwear boutique,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Aventura Kicks,Aventura,FL,USA,,@aventurakicks,No,No,No,,New Lead,Near Aventura Mall - affluent customer base,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Sneaker Circle,Hollywood,FL,USA,,@sneakercircle,No,No,No,,New Lead,Hollywood FL sneaker boutique,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
The Plug HTB,Hollywood,FL,USA,,@theplughtb,No,No,No,,New Lead,Hollywood FL streetwear boutique,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Hallandale Kicks,Hallandale Beach,FL,USA,,@hallandalekicks,No,No,No,,New Lead,Hallandale Beach sneaker boutique,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
The Vault FL,Fort Lauderdale,FL,USA,thevaultfl.com,954-882-7481,No,No,No,,New Lead,3920 Riverland Rd FTL 33312 - VERIFIED - TOP PRIORITY,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Knotty Boy,Fort Lauderdale,FL,USA,,@knottyboyfitments,No,No,No,,New Lead,Fort Lauderdale streetwear + lifestyle,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Broward Thread,Fort Lauderdale,FL,USA,,@browardthread,No,No,No,,New Lead,Fort Lauderdale streetwear boutique,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Dope City Apparel,Fort Lauderdale,FL,USA,,@dopecityapparel,No,No,No,,New Lead,Fort Lauderdale urban + streetwear,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Lucre,Pompano Beach,FL,USA,lucreindustries.com,@lucreindustries,No,No,No,,New Lead,2306 E Atlantic Blvd Pompano Beach FL 33062 - VERIFIED,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
The Hook Up,Pompano Beach,FL,USA,,@thehookupfl,No,No,No,,New Lead,Pompano Beach streetwear - Yelp Top 10,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Cr8tive Outfitters,Pompano Beach,FL,USA,,@cr8tiveoutfitters,No,No,No,,New Lead,Pompano Beach streetwear,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Sneaker Lovers,Pompano Beach,FL,USA,,@sneakerloversfl,No,No,No,,New Lead,Pompano Beach sneaker boutique,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Soul Society Boutique,Pompano Beach,FL,USA,,@soulsocietyboutique,No,No,No,,New Lead,Lifestyle + streetwear - Pompano Beach,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Boca Kickz,Boca Raton,FL,USA,,@bocakickz,No,No,No,,New Lead,Boca Raton sneaker boutique - affluent market,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Fresh Kicks Boca,Boca Raton,FL,USA,,@freshkicksboca,No,No,No,,New Lead,Boca Raton sneaker boutique,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Delray Kicks,Delray Beach,FL,USA,,@delraykicks,No,No,No,,New Lead,Delray Beach - Atlantic Ave traffic,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Palm Beach Streetwear,West Palm Beach,FL,USA,,@palmbeachstreetwear,No,No,No,,New Lead,West Palm Beach streetwear boutique,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
SoleCity WPB,West Palm Beach,FL,USA,,@solecitywpb,No,No,No,,New Lead,West Palm Beach sneaker + streetwear,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
The Hookup WPB,West Palm Beach,FL,USA,,@thehookupwpb,No,No,No,,New Lead,West Palm Beach urban + streetwear,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Lake Worth Threads,Lake Worth,FL,USA,,@lakewortththreads,No,No,No,,New Lead,Lake Worth streetwear boutique,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Riviera Beach Kicks,Riviera Beach,FL,USA,,@rivierabeachkicks,No,No,No,,New Lead,Riviera Beach sneaker boutique,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Boynton Beach Kicks,Boynton Beach,FL,USA,,@boyntonbeachkicks,No,No,No,,New Lead,Boynton Beach sneaker + streetwear,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
HYP Miami,Miami (Brickell),FL,USA,hypmiami.com,@hypmiami,No,No,No,,New Lead,Premium streetwear Brickell - Chrome Hearts/Fear of God/GV Gallery - TOP PRIORITY,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
UNKNWN Miami,Miami,FL,USA,unknwn.com,@unknwn,No,No,No,,New Lead,Iconic Miami streetwear destination - KEY ACCOUNT,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
SoleFly South Miami,Miami,FL,USA,solefly.com,305-661-3423,No,No,No,,New Lead,8099 S Dixie Hwy #2 Miami FL 33143 - Collab boutique,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
SoleFly Cutler Bay,Cutler Bay,FL,USA,solefly.com,305-800-3423,No,No,No,,New Lead,18433 S Dixie Hwy Cutler Bay FL 33157,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
SoleFly Doral,Doral,FL,USA,solefly.com,@solefly,No,No,No,,New Lead,8405 NW 53 St Ste E106 Doral FL 33166,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Survival Miami,Miami,FL,USA,survivalmiami.com,(786) 705-3777,No,No,No,,New Lead,4 South Florida locations - multi-door deal potential. Email: info@survivalmiami.com,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
BASE Miami,Miami (Wynwood),FL,USA,,@basemiami,No,No,No,,New Lead,Yelp Top 10 Miami streetwear - Wynwood location,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Sniper Gang Hotbox,Miami,FL,USA,,@snipergang,No,No,No,,New Lead,Rap/streetwear lifestyle store - Yelp Top 10,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
ReUp Miami,Miami,FL,USA,,@reupmiami,No,No,No,,New Lead,Resale + streetwear boutique - Yelp Top 10,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
D-Koncept,Miami,FL,USA,,@dkoncept_,No,No,No,,New Lead,Miami streetwear boutique - Yelp Top 10,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Lower East Coast,Miami,FL,USA,,@lowereastcoastmiami,No,No,No,,New Lead,Miami streetwear - culture-forward,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Cool J's,Miami,FL,USA,,@cooljsmiami,No,No,No,,New Lead,Streetwear + urban - Yelp Top 10 Miami,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Wynwood Shop,Miami (Wynwood),FL,USA,wynwoodshop.com,@wynwoodshop,No,No,No,,New Lead,Wynwood - high tourist + local traffic,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
305 Streetwear,Miami,FL,USA,305streetwear.com,@305streetwear,No,No,No,,New Lead,Miami-born streetwear brand + retail,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
The Webster Miami,Miami Beach,FL,USA,thewebster.us,@thewebster,Yes,No,No,,New Lead,1220 Collins Ave - Luxury streetwear - Off-White/Fear of God,,,,,52,B-Tier,,,Contact:22/Brand:5/Market:5/Reach:20
Supply & Advise,Miami Beach,FL,USA,supplyandadvise.com,@supplyandadvise,No,No,No,,New Lead,Premium menswear + streetwear Miami Beach,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Addict Miami,Miami (Wynwood),FL,USA,,@addictmiami,No,No,No,,New Lead,2271 NW 2nd Ave Miami FL 33127 - Wynwood institution,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Local Motion Miami,Miami,FL,USA,,@localmotionmiami,No,No,No,,New Lead,Miami lifestyle + streetwear boutique,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
The Sneaker Don,Miami,FL,USA,,@thesneakerdonmiami,No,No,No,,New Lead,Miami luxury sneaker boutique,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Miami Thread,Miami,FL,USA,,@miamithread,No,No,No,,New Lead,Miami streetwear + fashion boutique,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Kicks Miami,Miami,FL,USA,,@kicksmiami,No,No,No,,New Lead,Miami sneaker retail boutique,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Elite Kicks Miami,Miami,FL,USA,,@elitekicksmiami,No,No,No,,New Lead,Miami premium sneaker boutique,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Fresh Prince Kicks,Miami,FL,USA,,@freshprincekicks,No,No,No,,New Lead,Miami sneaker boutique,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
786 Sneakers,Miami,FL,USA,,@786sneakers,No,No,No,,New Lead,Miami sneaker boutique - 305 culture,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
SBRK (Streetbreak),Miami,FL,USA,,@sbrk_miami,No,No,No,,New Lead,Miami streetwear boutique,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Overdose Miami,Miami (Wynwood),FL,USA,,@overdosemiami,No,No,No,,New Lead,Wynwood streetwear boutique,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Streetwear Exchange,Miami,FL,USA,,@streetwearexchangemiami,No,No,No,,New Lead,Miami streetwear resale + retail,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Kicks Factory,Miami,FL,USA,,@kicksfactorymiami,No,No,No,,New Lead,Miami sneaker boutique + streetwear,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
SneakerHead Miami,Miami,FL,USA,,@sneakerheadmiami,No,No,No,,New Lead,Miami sneaker lifestyle boutique,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Concepts Miami,Miami,FL,USA,cncpts.com,@cncpts,No,No,No,,New Lead,Premium sneaker boutique with Miami distribution,,,,,50,B-Tier,,,Contact:10/Brand:5/Market:25/Reach:10
Hialeah Kicks,Hialeah,FL,USA,,@hialehakicks,No,No,No,,New Lead,Hialeah sneaker boutique - dense market,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
North Miami Beach Streetwear,North Miami Beach,FL,USA,,@nmbstreetwear,No,No,No,,New Lead,North Miami Beach streetwear boutique,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Aventura Kicks,Aventura,FL,USA,,@aventurakicks,No,No,No,,New Lead,Near Aventura Mall - affluent customer base,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Sneaker Circle,Hollywood,FL,USA,,@sneakercircle,No,No,No,,New Lead,Hollywood FL sneaker boutique,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
The Plug HTB,Hollywood,FL,USA,,@theplughtb,No,No,No,,New Lead,Hollywood FL streetwear boutique,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Hallandale Kicks,Hallandale Beach,FL,USA,,@hallandalekicks,No,No,No,,New Lead,Hallandale Beach sneaker boutique,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
The Vault FL,Fort Lauderdale,FL,USA,thevaultfl.com,954-882-7481,No,No,No,,New Lead,3920 Riverland Rd FTL 33312 - VERIFIED - TOP PRIORITY,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Knotty Boy,Fort Lauderdale,FL,USA,,@knottyboyfitments,No,No,No,,New Lead,Fort Lauderdale streetwear + lifestyle,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Broward Thread,Fort Lauderdale,FL,USA,,@browardthread,No,No,No,,New Lead,Fort Lauderdale streetwear boutique,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Dope City Apparel,Fort Lauderdale,FL,USA,,@dopecityapparel,No,No,No,,New Lead,Fort Lauderdale urban + streetwear,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Lucre,Pompano Beach,FL,USA,lucreindustries.com,@lucreindustries,No,No,No,,New Lead,2306 E Atlantic Blvd Pompano Beach FL 33062 - VERIFIED,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
The Hook Up,Pompano Beach,FL,USA,,@thehookupfl,No,No,No,,New Lead,Pompano Beach streetwear - Yelp Top 10,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Cr8tive Outfitters,Pompano Beach,FL,USA,,@cr8tiveoutfitters,No,No,No,,New Lead,Pompano Beach streetwear,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Sneaker Lovers,Pompano Beach,FL,USA,,@sneakerloversfl,No,No,No,,New Lead,Pompano Beach sneaker boutique,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Soul Society Boutique,Pompano Beach,FL,USA,,@soulsocietyboutique,No,No,No,,New Lead,Lifestyle + streetwear - Pompano Beach,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Boca Kickz,Boca Raton,FL,USA,,@bocakickz,No,No,No,,New Lead,Boca Raton sneaker boutique - affluent market,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Fresh Kicks Boca,Boca Raton,FL,USA,,@freshkicksboca,No,No,No,,New Lead,Boca Raton sneaker boutique,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Delray Kicks,Delray Beach,FL,USA,,@delraykicks,No,No,No,,New Lead,Delray Beach - Atlantic Ave traffic,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Palm Beach Streetwear,West Palm Beach,FL,USA,,@palmbeachstreetwear,No,No,No,,New Lead,West Palm Beach streetwear boutique,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
SoleCity WPB,West Palm Beach,FL,USA,,@solecitywpb,No,No,No,,New Lead,West Palm Beach sneaker + streetwear,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
The Hookup WPB,West Palm Beach,FL,USA,,@thehookupwpb,No,No,No,,New Lead,West Palm Beach urban + streetwear,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Lake Worth Threads,Lake Worth,FL,USA,,@lakewortththreads,No,No,No,,New Lead,Lake Worth streetwear boutique,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Riviera Beach Kicks,Riviera Beach,FL,USA,,@rivierabeachkicks,No,No,No,,New Lead,Riviera Beach sneaker boutique,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Boynton Beach Kicks,Boynton Beach,FL,USA,,@boyntonbeachkicks,No,No,No,,New Lead,Boynton Beach sneaker + streetwear,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Men's Closet,Orlando,FL,USA,https://mensclosetclothing.com,(407) 578-4878,No,No,No,,Not Contacted,"Original streetwear boutique since 1988. OFF White, Palm Angels, ASSC. 5510 W Colonial Dr Ste 102.",,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Aphonics Kicks (Florida Mall),Orlando,FL,USA,https://www.aphonicss.com,(321) 247-5020,Yes,No,No,,Not Contacted,8001 S Orange Blossom Trl. Supreme carrier. Tier 1.,,,,,52,B-Tier,,,Contact:22/Brand:5/Market:5/Reach:20
Aphonics Kicks (Int'l Dr),Orlando,FL,USA,https://www.aphonicss.com,(407) 851-6255,Yes,No,No,,Not Contacted,5263 International Dr. Orlando Outlet Marketplace. 2nd location.,,,,,52,B-Tier,,,Contact:22/Brand:5/Market:5/Reach:20
The Bodega Vintage/Streetwear,Orlando,FL,USA,,@TheBodegaOrlando,No,No,No,,Not Contacted,Vintage + streetwear boutique in Orlando.,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Lovely Kickz Boutique,Orlando,FL,USA,,,No,No,No,,Not Contacted,Sneaker boutique in Orlando area.,,,,,10,C-Tier,,,Contact:0/Brand:5/Market:5/Reach:0
813 Designer World,Tampa,FL,USA,https://813designerworld.com,(813) 252-8585,No,No,No,,Not Contacted,6202 N 40th St. Authorized retailer. New merch daily.,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
FLY,Tampa,FL,USA,,(813) 853-6712,No,No,No,,Not Contacted,3904 Corporex Park Dr Ste 102. Exclusive brands since 2009. Tier 1.,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Entourage Streetwear,Tampa,FL,USA,https://entouragestreetwear.com,,No,No,No,,Not Contacted,Tampa-based premium streetwear and sneakers.,,,,,10,C-Tier,,,Contact:0/Brand:5/Market:5/Reach:0
Secured Tampa,Lutz,FL,USA,https://www.securedtampa.com,@securedtampa,Yes,No,No,,Not Contacted,Tampa Premium Outlets. Supreme + Bape carrier. Tier 1.,,,,,52,B-Tier,,,Contact:22/Brand:5/Market:5/Reach:20
Hotbins Tampa,Tampa,FL,USA,https://hotbins.com,(813) 915-5771,No,No,No,,Not Contacted,4001 E Busch Blvd. Buy/sell/trade sneaker chain.,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Impossible Kicks Tampa,Tampa,FL,USA,https://impossiblekicks.com,@impossiblekicks,Yes,No,No,,Not Contacted,International Plaza & Bay Street. Premium boutique.,,,,,52,B-Tier,,,Contact:22/Brand:5/Market:5/Reach:20
KickzR4Us Sneaker Boutique,Tampa,FL,USA,,,No,No,No,,Not Contacted,Sneaker boutique in Tampa Bay area.,,,,,10,C-Tier,,,Contact:0/Brand:5/Market:5/Reach:0
Hotbins Brandon,Brandon,FL,USA,https://hotbins.com,(813) 278-8793,No,No,No,,Not Contacted,1423 E Brandon Blvd.,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Hotbins St. Petersburg,St. Petersburg,FL,USA,https://hotbins.com,@hotbinssaintpete,No,No,No,,Not Contacted,1055 62nd Ave N.,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Matter of Fact,St. Petersburg,FL,USA,https://shopmatteroffact.com,@shopmatteroffact,No,No,No,,Not Contacted,Contemporary streetwear boutique in St Pete.,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Hotbins Holiday,Holiday,FL,USA,https://hotbins.com,(727) 935-1323,No,No,No,,Not Contacted,2599 US-19. North Pinellas area.,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Soleciety Sneaker Boutique,Wesley Chapel,FL,USA,https://solecietyshop.com,@solecietyshop,No,No,No,,Not Contacted,28211 Paseo Dr. Closed due to Hurricane Milton - monitor reopen.,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Hotbins Sarasota,Sarasota,FL,USA,https://hotbins.com,(941) 706-2650,No,No,No,,Not Contacted,935 N Beneva Rd Ste 802.,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Urban Culture Boutique,Sarasota,FL,USA,https://shopurbanculture.com,,No,No,No,,Not Contacted,478 John Ringling Blvd. Downtown Sarasota boutique.,,,,,10,C-Tier,,,Contact:0/Brand:5/Market:5/Reach:0
Graffiti SRQ,Sarasota,FL,USA,https://graffitisrq.com,,No,No,No,,Not Contacted,Custom streetwear shop in Sarasota.,,,,,10,C-Tier,,,Contact:0/Brand:5/Market:5/Reach:0
T. Georgiano's Boutique,Sarasota,FL,USA,https://tgeorgianos.com,(941) 870-3727,No,No,No,,Not Contacted,Designer sneaker boutique. Vintage + modern. Email: info@tgeorgianos.com | Instagram: @tgeorgianos,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Hyped Lounge,Sarasota,FL,USA,,@hyped_lounge,No,No,No,,Not Contacted,Sarasota-based streetwear brand/boutique.,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Sole Culture,Sarasota,FL,USA,,@soleculturej,No,No,No,,Not Contacted,3.3K Instagram. Sneaker boutique.,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Hotbins Fort Myers,Fort Myers,FL,USA,https://hotbins.com,(239) 689-1163,No,No,No,,Not Contacted,4650 S Cleveland Ave Suite 12.,,,,,30,C-Tier,,,Contact:10/Brand:5/Market:5/Reach:10
Steps Shoe Retailer,Fort Myers,FL,USA,https://stepsshoeretailer.com,,No,No,No,,Not Contacted,Exclusive shoes and clothing in SW Florida.,,,,,10,C-Tier,,,Contact:0/Brand:5/Market:5/Reach:0
